sampledate,avsnow,totice,whiteice,light
1/26/82,14.4,52.5,19.1,
2/23/82,12.6,59.8,18.6,
4/5/82,3,62.3,31.2,
11/30/82,0,9.3,0,
1/17/83,28,34,7,
2/18/83,28.2,36,5,
3/23/83,9.8,36,11,
1/6/84,3.5,37.7,18.3,
2/29/84,0.3,50,17,
4/3/84,1.5,56,21,
1/7/85,,31.5,10.3,1.941
2/25/85,13.8,47,9,1.139
3/27/85,0.5,51,9,0.727
1/16/86,17.1,32,12,
3/3/86,22.6,48,24,
3/31/86,1.5,,,
1/20/87,6.5,40,8,
2/24/87,15.4,47,6,
3/19/87,0,54,8,0.747
1/11/88,18.9,21.5,15.5,
3/2/88,5.2,58,52,
3/21/88,8.3,61,51,0.755
1/11/89,22.9,38,0,
3/6/89,27.8,55,11,
3/27/89,,60.5,18,1.611
1/24/90,31.8,40,1,
2/27/90,14.2,53,17,
3/27/90,0,44,3,
1/17/91,15.6,32,1,0.907
2/19/91,16,45,5,
3/25/91,0,53,13,0.739
1/17/92,15.7,34,12,
3/4/92,12.3,35,10,
3/23/92,4.1,48,20,0.948
1/8/93,16.9,35.5,12.5,
2/23/93,10,49,17,1.035
3/23/93,8.1,58.5,19.5,0.659
1/10/94,18.2,30,5,
2/22/94,0,44,9,0.75
3/29/94,18.2,42,6,
1/11/95,2.7,40,33.5,
2/21/95,14.3,53,3,
1/16/96,24.2,38,,
2/20/96,18.9,57,41,
4/8/96,20.7,68,37,
1/20/97,11.6,46,26,
2/26/97,13.5,52,24,
3/19/97,31.2,57,30,
1/19/98,24.3,30,4,
2/24/98,0,42,18,
3/16/98,8.4,37,15,
1/21/99,20.5,27,2,
2/25/99,14.5,49,22,
3/23/99,0.5,54,20,0.728
1/26/00,14.3,31,6,
2/24/00,10.6,38,10,0.67
1/26/01,10.5,42,13,0.591
3/2/01,23.1,44,21,0.679
4/2/01,5.4,55,28,0.568
1/23/02,4.1,24,2,0.676
3/5/02,11.2,45,12,0.541
4/4/02,10,62,30,0.119
1/24/03,1.7,56,0,0.551
2/26/03,11.7,67,2,0.897
1/14/04,18.3,41.5,6.5,
2/19/04,27.1,54,10,
3/31/04,0.9,56,17,0.608
1/10/05,4.1,41,17,0.887
2/23/05,10.9,53,16,0.688
4/1/05,1,49,10,
1/10/06,18.3,31,6,
2/27/06,19.7,49,26,0.777
3/28/06,2.9,57,33,0.461
1/24/07,7.7,32,7,0.601
2/23/07,3.6,49,3,
3/26/07,0,38,0,0.576
1/15/08,8.3,35,9,
3/3/08,16.9,51,13,0.537
3/25/08,17.9,53,14,0.599
1/20/09,19.5,45,12,0.499
2/23/09,5.4,61,15,0.506
3/17/09,0,60,12,0.512
1/19/10,6.1,33,17,0.622
2/16/10,14.9,46,15,0.358
3/22/10,0,24,3,0.534
1/19/11,15,37,7,
2/15/11,17.3,41,14,
3/16/11,3.6,51,7,0.814
1/16/12,12.7,32,7,0.721
2/23/12,23.6,38,7,0.507
1/25/13,8.9,36,4,0.782
2/25/13,34.7,50,2,0.475
3/27/13,14,66,25,0.469
1/17/14,25.8,36,12,0.798
3/18/14,7.2,73,32,0.769
3/27/14,9.5,78,46,0.617
1/19/15,21.3,32,8,1.121
2/24/15,7.2,54,22,1.038
3/23/15,0,44,5,0.932
1/28/16,,24,4,0.936
3/8/16,0,40,11,0.791
1/16/17,21.4,29,0,
2/20/17,0,44,10,
3/21/17,0.6,43,4,
