lakeid,sampledate,avsnow,totice,whiteice,extcoef
CB,1/18/82,13.9,28.2,19.2,
CB,2/22/82,6.7,43.4,17.5,
CB,4/7/82,5.9,41.5,32,
CB,12/1/82,0,11,0,
CB,1/11/83,28.1,25.5,25.5,
CB,2/23/83,5,32.5,21,
CB,3/25/83,10.3,32,22,
CB,11/16/83,,3,,
CB,1/5/84,12.3,22.1,15.7,
CB,2/20/84,9.1,37,21,
CB,4/9/84,0,31,20,
CB,1/15/85,10.1,28,6,
CB,2/26/85,16.5,35,9,2.064
CB,3/26/85,0.5,44,18,2.213
CB,11/12/85,0,3,0,
CB,1/13/86,20.4,32,17,
CB,2/25/86,27.4,44,34,
CB,1/20/87,15,22,17,
CB,2/23/87,7.7,37,21,
CB,3/19/87,0,41,41,2.427
CB,1/20/88,23.1,24,20,
CB,2/29/88,9.6,48,43.5,
CB,3/23/88,4.1,46,41,
CB,1/19/89,16.5,38.5,22,
CB,2/21/89,13.6,42.8,26,
CB,3/28/89,,43,21.4,0.197
CB,1/18/90,8.5,26.5,20.5,
CB,2/27/90,19.2,46,30,
CB,3/28/90,0,30,17,
CB,1/15/91,20.2,23,0,
CB,2/18/91,9.4,38,30,
CB,3/22/91,0,42,15,2.823
CB,1/15/92,14.4,29,5,
CB,2/25/92,29,36,31,
CB,3/25/92,2.9,38,31,3.067
CB,1/14/93,16.4,28,17,
CB,2/25/93,8.9,44.5,32.5,
CB,3/23/93,8.6,50,33,0
CB,1/17/94,11.9,29,17,
CB,2/23/94,1,35,15,
CB,3/30/94,13.4,32,10.5,2.945
CB,1/12/95,4.9,34,6,2.335
CB,2/15/95,18.4,41.5,6,
CB,3/20/95,0,30,30,2.714
CB,1/17/96,27.2,31,31,
CB,2/20/96,19.2,45,40,
CB,4/8/96,13.8,64,54,
CB,1/13/97,15.9,42,30,
CB,2/17/97,20.4,49,41,
CB,4/10/97,0,39,39,3.39
CB,1/20/98,20,27,6,
CB,2/19/98,0.7,40,25,2.534
CB,3/17/98,9.1,31,20,3.068
CB,1/19/99,15.2,26,0,
CB,2/25/99,15,40,40,
CB,3/29/99,0,40,27,
CB,1/28/00,17,28,18,
CB,2/23/00,2.3,41,17,
CB,1/16/01,23.5,21,13,
CB,3/1/01,17,40,34,
CB,4/2/01,4.9,44,37,
CB,1/22/02,9.9,20,14,2.084
CB,2/22/02,21.6,26,14,
CB,4/2/02,7,52,45,
CB,2/3/03,27.3,41,41,
CB,2/20/03,16.2,43,5,
CB,4/1/03,6.7,31,29,1.942
CB,1/21/04,20.9,31,11,
CB,2/27/04,7.8,53,29,
CB,4/6/04,0,30,13,2.23
CB,1/12/05,6.1,35,22,
CB,2/28/05,25.2,45,19,
CB,3/31/05,1.8,39,12,2.254
CB,1/12/06,6,25,13,1.595
CB,2/23/06,17.2,37,27,
CB,3/27/06,2.2,42,37,1.262
CB,1/22/07,9,27,10,
CB,2/21/07,11,34,13,4.031
CB,1/28/08,14,33,15,
CB,2/25/08,20.9,42,24,
CB,3/24/08,16.1,52,25,
CB,1/22/09,17.9,33,17,
CB,2/17/09,5,42,20,3.153
CB,3/18/09,0,41,19,3.932
CB,1/14/10,12.1,24,21,
CB,2/22/10,15.3,36,23,
CB,1/25/11,18.4,32.5,13,
CB,2/17/11,6.6,41,16,
CB,3/17/11,0,48,20,
CB,1/9/12,5,25,14,2.65
CB,2/22/12,13.4,35,24,1.542
CB,1/28/13,22.4,30,7,
CB,2/18/13,18.6,46,18,
CB,3/28/13,9.5,59,29,0.845
CB,2/3/14,23.4,47,29,
CB,2/20/14,30.4,47,27,
CB,3/31/14,10.3,55,39,1.173
CB,1/23/15,18,28,13,3.04
CB,3/6/15,28,30,24,2.685
CB,3/23/15,0,25,19,3.952
CB,1/25/16,16.5,22,8,3.19
CB,2/24/16,9,32,23,2.725
CB,1/17/17,17.9,24,16,
CB,2/23/17,2.5,29,23,
CB,3/24/17,0,34,24,
