lakeid,sampledate,depth,light
AL,4/23/81,1,
AL,4/23/81,2,
AL,4/23/81,3,
AL,4/23/81,4,
AL,4/23/81,5,
AL,4/23/81,6,
AL,4/23/81,7,
AL,4/23/81,7.5,
AL,5/22/81,0,
AL,5/22/81,1,
AL,5/22/81,2,
AL,5/22/81,3,
AL,5/22/81,4,
AL,5/22/81,5,
AL,5/22/81,6,
AL,5/22/81,7,
AL,5/22/81,8,
AL,6/3/81,0,
AL,6/3/81,1,
AL,6/3/81,2,
AL,6/3/81,3,
AL,6/3/81,4,
AL,6/3/81,5,
AL,6/3/81,5.5,
AL,6/3/81,6,
AL,6/17/81,0,450
AL,6/17/81,1,190
AL,6/17/81,2,84
AL,6/17/81,3,37
AL,6/17/81,4,17.3
AL,6/17/81,5,7.6
AL,6/17/81,6,3.8
AL,6/17/81,7,3
AL,6/17/81,7.3,
AL,7/2/81,0,740
AL,7/2/81,1,300
AL,7/2/81,2,150
AL,7/2/81,3,120
AL,7/2/81,4,36
AL,7/2/81,5,13
AL,7/2/81,6,4
AL,7/2/81,7,3.8
AL,7/2/81,7.5,
AL,7/2/81,8,0.2
AL,7/16/81,0,145
AL,7/16/81,1,53
AL,7/16/81,2,28.5
AL,7/16/81,3,15
AL,7/16/81,4,5.5
AL,7/16/81,5,2.1
AL,7/16/81,6,0.8
AL,7/16/81,7,0.3
AL,7/16/81,7.5,
AL,7/16/81,8,0
AL,7/28/81,0,190
AL,7/28/81,1,74
AL,7/28/81,2,45
AL,7/28/81,3,27
AL,7/28/81,4,13.6
AL,7/28/81,5,2.4
AL,7/28/81,6,0.5
AL,7/28/81,7,0.1
AL,7/28/81,7.6,0
AL,8/12/81,0,470
AL,8/12/81,1,140
AL,8/12/81,2,76
AL,8/12/81,3,37
AL,8/12/81,4,15.5
AL,8/12/81,5,5.3
AL,8/12/81,6,0.9
AL,8/12/81,7,0.1
AL,8/12/81,7.5,0
AL,8/27/81,0,110
AL,8/27/81,1,30
AL,8/27/81,2,25
AL,8/27/81,3,13.5
AL,8/27/81,4,4.4
AL,8/27/81,5,0.7
AL,8/27/81,6,0
AL,8/27/81,7,0
AL,8/27/81,7.5,
AL,9/12/81,0,480
AL,9/12/81,1,160
AL,9/12/81,2,59
AL,9/12/81,3,21
AL,9/12/81,4,8.8
AL,9/12/81,5,3.4
AL,9/12/81,6,1.2
AL,9/12/81,7,0.2
AL,9/12/81,7.5,0
AL,9/26/81,0,44
AL,9/26/81,1,5.5
AL,9/26/81,2,0.1
AL,9/26/81,3,0
AL,9/26/81,4,
AL,9/26/81,5,
AL,9/26/81,6,
AL,9/26/81,7,
AL,9/26/81,8,
AL,10/22/81,0,390
AL,10/22/81,1,115
AL,10/22/81,2,43
AL,10/22/81,3,27.5
AL,10/22/81,4,7
AL,10/22/81,5,5.8
AL,10/22/81,6,2.1
AL,10/22/81,7,1.7
AL,1/26/82,0,
AL,1/26/82,1,
AL,1/26/82,2,
AL,1/26/82,3,
AL,1/26/82,4,
AL,1/26/82,5,
AL,1/26/82,6,
AL,1/26/82,7,
AL,2/23/82,0,
AL,2/23/82,1,
AL,2/23/82,2,
AL,2/23/82,3,
AL,2/23/82,4,
AL,2/23/82,5,
AL,2/23/82,6,
AL,2/23/82,7,
AL,4/5/82,0,
AL,4/5/82,1,
AL,4/5/82,2,
AL,4/5/82,3,
AL,4/5/82,4,
AL,4/5/82,5,
AL,4/5/82,6,
AL,4/5/82,7,
AL,5/11/82,0,1350
AL,5/11/82,1,400
AL,5/11/82,2,125
AL,5/11/82,3,50
AL,5/11/82,4,19
AL,5/11/82,5,7.2
AL,5/11/82,6,2.2
AL,5/11/82,7,0.4
AL,5/25/82,0,480
AL,5/25/82,0.5,
AL,5/25/82,1,165
AL,5/25/82,2,97
AL,5/25/82,3,56
AL,5/25/82,4,33
AL,5/25/82,5,16
AL,5/25/82,6,3.2
AL,5/25/82,7,2.9
AL,5/25/82,7.5,2.3
AL,6/9/82,0,770
AL,6/9/82,0.5,
AL,6/9/82,1,280
AL,6/9/82,2,205
AL,6/9/82,3,110
AL,6/9/82,4,62
AL,6/9/82,5,43
AL,6/9/82,6,17
AL,6/9/82,7,1.25
AL,6/25/82,0,1650
AL,6/25/82,0.5,
AL,6/25/82,1,255
AL,6/25/82,2,130
AL,6/25/82,3,120
AL,6/25/82,4,58
AL,6/25/82,5,33
AL,6/25/82,6,12.5
AL,6/25/82,7,0.05
AL,7/5/82,0,1500
AL,7/5/82,0.5,
AL,7/5/82,1,750
AL,7/5/82,2,350
AL,7/5/82,3,180
AL,7/5/82,4,130
AL,7/5/82,5,19
AL,7/5/82,6,24
AL,7/5/82,7,11.5
AL,7/21/82,0,
AL,7/21/82,0.5,
AL,7/21/82,1,
AL,7/21/82,2,
AL,7/21/82,3,
AL,7/21/82,4,
AL,7/21/82,5,
AL,7/21/82,6,
AL,7/21/82,7,
AL,8/5/82,0,900
AL,8/5/82,0.5,
AL,8/5/82,1,320
AL,8/5/82,2,100
AL,8/5/82,3,0
AL,8/5/82,4,
AL,8/5/82,5,
AL,8/5/82,6,
AL,8/5/82,7,
AL,8/16/82,0,1000
AL,8/16/82,1,450
AL,8/16/82,2,190
AL,8/16/82,3,100
AL,8/16/82,4,39
AL,8/16/82,5,17
AL,8/16/82,6,2.65
