lakeid,sampledate,avsnow,totice,whiteice,
AL,1/6/84,3.5,37.7,18.3,
AL,1/7/85,,31.5,10.3,
AL,1/8/93,16.9,35.5,12.5,
AL,1/10/94,18.2,30,5,
AL,1/10/05,4.1,41,17,
AL,1/10/06,18.3,31,6,
AL,1/11/88,18.9,21.5,15.5,
AL,1/11/89,22.9,38,0,
AL,1/11/95,2.7,40,33.5,
AL,1/14/04,18.3,41.5,6.5,
AL,1/15/08,8.3,35,9,
AL,1/16/86,17.1,32,12,
AL,1/16/96,24.2,38,,
AL,1/16/12,12.7,32,7,
AL,1/16/17,21.4,29,0,
AL,1/17/83,28,34,7,
AL,1/17/91,15.6,32,1,
AL,1/17/92,15.7,34,12,
AL,1/17/14,25.8,36,12,
AL,1/19/98,24.3,30,4,
AL,1/19/10,6.1,33,17,
AL,1/19/11,15,37,7,
AL,1/19/15,21.3,32,8,
AL,1/20/87,6.5,40,8,
AL,1/20/97,11.6,46,26,
AL,1/20/09,19.5,45,12,
AL,1/21/99,20.5,27,2,
AL,1/23/02,4.1,24,2,
AL,1/24/90,31.8,40,1,
AL,1/24/03,1.7,56,0,
AL,1/24/07,7.7,32,7,
AL,1/25/13,8.9,36,4,
AL,1/26/82,14.4,52.5,19.1,
AL,1/26/00,14.3,31,6,
AL,1/26/01,10.5,42,13,
AL,1/28/16,,24,4,
AL,2/15/11,17.3,41,14,
AL,2/16/10,14.9,46,15,
AL,2/18/83,28.2,36,5,
AL,2/19/91,16,45,5,
AL,2/19/04,27.1,54,10,
AL,2/20/96,18.9,57,41,
AL,2/20/17,0,44,10,
AL,2/21/95,14.3,53,3,
AL,2/22/94,0,44,9,
AL,2/23/82,12.6,59.8,18.6,
AL,2/23/93,10,49,17,
AL,2/23/05,10.9,53,16,
AL,2/23/07,3.6,49,3,
AL,2/23/09,5.4,61,15,
AL,2/23/12,23.6,38,7,
AL,2/24/87,15.4,47,6,
AL,2/24/98,0,42,18,
AL,2/24/00,10.6,38,10,
AL,2/24/15,7.2,54,22,
AL,2/25/85,13.8,47,9,
AL,2/25/99,14.5,49,22,
AL,2/25/13,34.7,50,2,
AL,2/26/97,13.5,52,24,
AL,2/26/03,11.7,67,2,
AL,2/27/90,14.2,53,17,
AL,2/27/06,19.7,49,26,
AL,2/29/84,0.3,50,17,
AL,3/2/01,23.1,44,21,
AL,3/3/86,22.6,48,24,
AL,3/2/88,5.2,58,52,
AL,3/3/08,16.9,51,13,
AL,3/4/92,12.3,35,10,
