
"lakeid","sampledate","avsnow","totice","whiteice","blueice"
"AL","1984-01-06",3.5,37.7,18.3,19.4
"AL","1985-01-07",,31.5,10.3,21.2
"AL","1993-01-08",16.9,35.5,12.5,23.0
"AL","1994-01-10",18.2,30.0,5.0,25.0
"AL","2005-01-10",4.1,41.0,17.0,24.0
"AL","2006-01-10",18.3,31.0,6.0,25.0
"AL","1988-01-11",18.9,21.5,15.5,6.0
"AL","1989-01-11",22.9,38.0,0.0,38.0
"AL","1995-01-11",2.7,40.0,33.5,6.5
"AL","2004-01-14",18.3,41.5,6.5,35.0
"AL","2008-01-15",8.3,35.0,9.0,26.0
"AL","1986-01-16",17.1,32.0,12.0,20.0
"AL","1996-01-16",24.2,38.0,,
"AL","2012-01-16",12.7,32.0,7.0,25.0
"AL","2017-01-16",21.4,29.0,0.0,29.0
"AL","1983-01-17",28.0,34.0,7.0,27.0
"AL","1991-01-17",15.6,32.0,1.0,31.0
"AL","1992-01-17",15.7,34.0,12.0,22.0
"AL","2014-01-17",25.8,36.0,12.0,24.0
"AL","1998-01-19",24.3,30.0,4.0,26.0
"AL","2010-01-19",6.1,33.0,17.0,16.0
"AL","2011-01-19",15.0,37.0,7.0,30.0
"AL","2015-01-19",21.3,32.0,8.0,24.0
"AL","1987-01-20",6.5,40.0,8.0,32.0
"AL","1997-01-20",11.6,46.0,26.0,20.0
"AL","2009-01-20",19.5,45.0,12.0,33.0
"AL","1999-01-21",20.5,27.0,2.0,25.0
"AL","2002-01-23",4.1,24.0,2.0,22.0
"AL","1990-01-24",31.8,40.0,1.0,39.0
"AL","2003-01-24",1.7,56.0,0.0,56.0
"AL","2007-01-24",7.7,32.0,7.0,25.0
"AL","2013-01-25",8.9,36.0,4.0,32.0
"AL","1982-01-26",14.4,52.5,19.1,33.4
"AL","2000-01-26",14.3,31.0,6.0,25.0
"AL","2001-01-26",10.5,42.0,13.0,29.0
"AL","2016-01-28",,24.0,4.0,20.0
"AL","2011-02-15",17.3,41.0,14.0,27.0
"AL","2010-02-16",14.9,46.0,15.0,31.0
"AL","1983-02-18",28.2,36.0,5.0,31.0
"AL","1991-02-19",16.0,45.0,5.0,40.0
"AL","2004-02-19",27.1,54.0,10.0,44.0
"AL","1996-02-20",18.9,57.0,41.0,16.0
"AL","2017-02-20",0.0,44.0,10.0,34.0
"AL","1995-02-21",14.3,53.0,3.0,50.0
"AL","1994-02-22",0.0,44.0,9.0,35.0
"AL","1982-02-23",12.6,59.8,18.6,41.2
"AL","1993-02-23",10.0,49.0,17.0,32.0
