lakeid,sampledate,avsnow,totice,whiteice,extcoef
SP,1/20/82,4.3,43,22.5,
SP,2/24/82,13.4,49.2,29.3,
SP,4/5/82,4,51,24.7,
SP,1/13/83,24,27,1,
SP,2/24/83,1,29,1,
SP,3/28/83,9.5,39,8,
SP,1/6/84,2.7,36.2,11.8,
SP,2/27/84,1,47.5,15,
SP,4/10/84,0,44.5,5,
SP,1/11/85,8.8,28.7,3,0.355
SP,2/27/85,11.7,48,4,0.272
SP,3/26/85,0.5,56,12,0.233
SP,4/11/85,0,50,50,
SP,1/14/86,17.5,29,6,0.507
SP,2/27/86,17.7,51,34,
SP,1/14/87,3.5,24,0,0.342
SP,2/24/87,13.4,41,0,0.352
SP,3/24/87,0,34,34,0.327
SP,1/19/88,2.8,35,16,
SP,2/29/88,10.4,54,51,0.282
SP,4/4/88,0,58,9.5,0.271
SP,1/12/89,18.3,33,0,
SP,2/23/89,7.9,58.5,17.5,0.302
SP,3/29/89,,50,5,0.218
SP,1/17/90,15.9,36,,
SP,2/19/90,15.9,51,10,0.373
SP,3/28/90,0,39,4,
SP,1/16/91,8.8,38,5,
SP,2/19/91,8.6,55,5,
SP,3/25/91,0,53,3,0.3
SP,1/14/92,11.3,30,7,0.388
SP,3/1/92,22.5,41,7,0.316
SP,3/27/92,0.4,52,10,0.3
SP,1/13/93,19,36.5,6,
SP,3/1/93,2.7,60.5,21.5,
SP,3/22/93,9.1,56,23,0.284
SP,1/12/94,6.8,30,10,0.566
SP,2/21/94,0,39,6,0.285
SP,3/28/94,15.5,44,0,
SP,1/9/95,2.1,30,2,0.62
SP,2/20/95,15.5,42,1,
SP,3/24/95,1,34,0,0.249
SP,1/24/96,11,51,22,0.855
SP,2/21/96,11.7,53,26,0.318
SP,4/1/96,18.2,70,32,
SP,1/14/97,11,37,26,
SP,2/17/97,24.5,40,26,
SP,3/25/97,31,44,31,
SP,1/12/98,17.5,26,0,
SP,2/23/98,0,35,11,0.359
SP,3/18/98,8.5,37,8,
SP,1/18/99,22.9,26,0,
SP,2/23/99,9,41,14,
SP,3/24/99,1,53,17,0.418
SP,1/18/00,18.9,27.5,0.5,
SP,2/22/00,27.6,36,2,
SP,1/22/01,20.7,32,10,0.309
SP,2/28/01,15.7,44,23,0.212
SP,4/3/01,2.2,45,32,0.232
SP,1/16/02,5.1,16.5,4,0.416
SP,2/28/02,1.6,38,11,0.267
SP,4/1/02,15,54,21,0.189
SP,1/15/03,1,45,0,
SP,3/6/03,17.5,61,0,0.238
SP,4/2/03,7.5,48,0,0.411
SP,1/12/04,10,37,8,
SP,2/18/04,29.7,42,7,
SP,4/7/04,0,39,6,0.25
SP,1/19/05,11.2,43,0,
SP,2/25/05,10,54,5,0.509
SP,4/6/05,0,42,0,0.397
SP,1/17/06,12.5,29,6,
SP,2/13/06,23.6,33,12,
SP,3/31/06,0,41,21,0.272
SP,1/15/07,6.8,29,8,0.53
SP,2/20/07,8.7,42,5,0.315
SP,3/28/07,0,27,0,0.283
SP,1/17/08,11.1,33,8,0.356
SP,3/3/08,18.9,48,13,0.236
SP,3/27/08,16.1,50,6,0.236
SP,5/2/08,0,0,0,
SP,1/20/09,17.8,45,6,
SP,2/24/09,3.6,55,9,0.278
SP,3/20/09,0,56,5,0.269
SP,1/12/10,5.7,32,17,0.267
SP,2/11/10,9.4,46,14,0.275
SP,1/18/11,16.9,31,10,0.224
SP,2/14/11,16.9,35,11,0.216
SP,3/21/11,1.4,43,7,0.284
SP,1/12/12,9,29,1,0.372
SP,2/21/12,9.4,41,11,0.285
SP,1/14/13,0,21,1,0.319
SP,2/25/13,21,45,16,0.253
SP,3/29/13,7.2,59,24,0.257
SP,1/30/14,32.1,38,7,0.225
SP,2/17/14,22,50,32,0.263
SP,3/24/14,10.8,72,45,0.166
SP,1/14/15,24.1,23,10,0.228
SP,2/24/15,12.2,43,20,0.208
SP,3/24/15,0,38,12,0.319
SP,1/21/16,6.5,22,5,0.453
SP,3/7/16,0.3,43,14,0.319
SP,1/17/17,16.5,26,9,
SP,2/22/17,0,32,9,
SP,3/27/17,0,31,1,
