lakeid,sampledate,avsnow,totice,whiteice,extcoef,lakeid,sampledate,depth,o2,deck,light,frlight,,sampledate,avsnow,totice,whiteice,extcoef
SP,1/20/82,4.3,43,22.5,,SP,6/4/81,0,8.8,,,,,,,,,
SP,2/24/82,13.4,49.2,29.3,,SP,6/4/81,1,8.9,,,,,,,,,
SP,4/5/82,4,51,24.7,,SP,6/4/81,2,8.9,,,,,,,,,
SP,1/13/83,24,27,1,,SP,6/4/81,3,8.9,,,,,,,,,
SP,2/24/83,1,29,1,,SP,6/4/81,4,8.9,,,,,,,,,
SP,3/28/83,9.5,39,8,,SP,6/4/81,5,10.5,,,,,,,,,
SP,1/6/84,2.7,36.2,11.8,,SP,6/4/81,6,11.3,,,,,,,,,
SP,2/27/84,1,47.5,15,,SP,6/4/81,7,11.2,,,,,,,,,
SP,4/10/84,0,44.5,5,,SP,6/4/81,8,11,,,,,,,,,
SP,1/11/85,8.8,28.7,3,0.355,SP,6/4/81,9,11,,,,,,,,,
SP,2/27/85,11.7,48,4,0.272,SP,6/4/81,10,10.9,,,,,,,,,
SP,3/26/85,0.5,56,12,0.233,SP,6/4/81,11,10.6,,,,,,,,,
SP,4/11/85,0,50,50,,SP,6/4/81,12,10.2,,,,,,,,,
SP,1/14/86,17.5,29,6,0.507,SP,6/4/81,13,9.9,,,,,,,,,
SP,2/27/86,17.7,51,34,,SP,6/4/81,14,8.9,,,,,,,,,
SP,1/14/87,3.5,24,0,0.342,SP,6/4/81,15,8.5,,,,,,,,,
SP,2/24/87,13.4,41,0,0.352,SP,6/4/81,16,7.6,,,,,,,,,
SP,3/24/87,0,34,34,0.327,SP,6/4/81,17,7.1,,,,,,,,,
SP,1/19/88,2.8,35,16,,SP,6/4/81,18,6.1,,,,,,,,,
SP,2/29/88,10.4,54,51,0.282,SP,6/4/81,19,5.8,,,,,,,,,
SP,4/4/88,0,58,9.5,0.271,SP,6/16/81,0,,,400,,,,,,,
SP,1/12/89,18.3,33,0,,SP,6/16/81,1,,,160,,,,,,,
SP,2/23/89,7.9,58.5,17.5,0.302,SP,6/16/81,2,,,145,,,,,,,
SP,3/29/89,,50,5,0.218,SP,6/16/81,3,,,325,,,,,,,
SP,1/17/90,15.9,36,,,SP,6/16/81,4,,,225,,,,,,,
SP,2/19/90,15.9,51,10,0.373,SP,6/16/81,5,,,180,,,,,,,
SP,3/28/90,0,39,4,,SP,6/16/81,6,,,125,,,,,,,
SP,1/16/91,8.8,38,5,,SP,6/16/81,7,,,93,,,,,,,
SP,2/19/91,8.6,55,5,,SP,6/16/81,8,,,69,,,,,,,
SP,3/25/91,0,53,3,0.3,SP,6/16/81,9,,,48,,,,,,,
SP,1/14/92,11.3,30,7,0.388,SP,6/16/81,10,,,36,,,,,,,
SP,3/1/92,22.5,41,7,0.316,SP,6/16/81,11,,,,,,,,,,
SP,3/27/92,0.4,52,10,0.3,SP,6/16/81,12,,,27,,,,,,,
SP,1/13/93,19,36.5,6,,SP,6/16/81,13,,,19.5,,,,,,,
SP,3/1/93,2.7,60.5,21.5,,SP,6/16/81,14,,,15.5,,,,,,,
SP,3/22/93,9.1,56,23,0.284,SP,6/16/81,15,,,5.1,,,,,,,
SP,1/12/94,6.8,30,10,0.566,SP,6/16/81,16,,,4,,,,,,,
SP,2/21/94,0,39,6,0.285,SP,6/16/81,17,,,2.7,,,,,,,
SP,3/28/94,15.5,44,0,,SP,6/16/81,18,,,2.2,,,,,,,
SP,1/9/95,2.1,30,2,0.62,SP,6/16/81,19,,,0.9,,,,,,,
SP,2/20/95,15.5,42,1,,SP,6/16/81,20,,,0.5,,,,,,,
SP,3/24/95,1,34,0,0.249,SP,6/16/81,20.3,,,0,,,,,,,
SP,1/24/96,11,51,22,0.855,SP,6/30/81,0,7.5,,1100,,,,,,,
SP,2/21/96,11.7,53,26,0.318,SP,6/30/81,1,7.4,,500,,,,,,,
SP,4/1/96,18.2,70,32,,SP,6/30/81,2,7.4,,320,,,,,,,
SP,1/14/97,11,37,26,,SP,6/30/81,3,7.4,,170,,,,,,,
SP,2/17/97,24.5,40,26,,SP,6/30/81,4,7.4,,130,,,,,,,
SP,3/25/97,31,44,31,,SP,6/30/81,5,7.5,,100,,,,,,,
SP,1/12/98,17.5,26,0,,SP,6/30/81,6,8.1,,54,,,,,,,
SP,2/23/98,0,35,11,0.359,SP,6/30/81,7,9.1,,50,,,,,,,
SP,3/18/98,8.5,37,8,,SP,6/30/81,8,10.1,,40,,,,,,,
SP,1/18/99,22.9,26,0,,SP,6/30/81,9,9.8,,31,,,,,,,
SP,2/23/99,9,41,14,,SP,6/30/81,10,9.4,,24,,,,,,,
SP,3/24/99,1,53,17,0.418,SP,6/30/81,11,9,,16,,,,,,,
SP,1/18/00,18.9,27.5,0.5,,SP,6/30/81,12,8.2,,15,,,,,,,
SP,2/22/00,27.6,36,2,,SP,6/30/81,13,7.3,,10,,,,,,,
SP,1/22/01,20.7,32,10,0.309,SP,6/30/81,14,6.3,,8,,,,,,,
SP,2/28/01,15.7,44,23,0.212,SP,6/30/81,15,5.7,,6.5,,,,,,,
SP,4/3/01,2.2,45,32,0.232,SP,6/30/81,16,4.6,,4.8,,,,,,,
SP,1/16/02,5.1,16.5,4,0.416,SP,6/30/81,17,4,,3.1,,,,,,,
SP,2/28/02,1.6,38,11,0.267,SP,6/30/81,18,3.4,,1.8,,,,,,,
SP,4/1/02,15,54,21,0.189,SP,6/30/81,19,2.3,,0.6,,,,,,,
SP,1/15/03,1,45,0,,SP,6/30/81,20,,,0.1,,,,,,,
SP,3/6/03,17.5,61,0,0.238,SP,7/16/81,0,,760,440,0.579,,,,,,
SP,4/2/03,7.5,48,0,0.411,SP,7/16/81,1,,,400,,,,,,,
