lakeid,sampledate,avsnow,totice,whiteice,extcoef
TB,1/27/82,25.8,32.5,12.1,
TB,3/3/82,9.1,39.3,32.7,
TB,4/6/82,8.2,52,41,
TB,11/30/82,0.5,11,0,
TB,1/10/83,27.9,17,8,
TB,2/22/83,0.5,31,15,
TB,3/24/83,10.1,30,8,
TB,11/14/83,,2,,
TB,1/3/84,8.1,35.3,13.2,
TB,2/28/84,2.3,46,22,
TB,4/4/84,0,46,14,
TB,1/15/85,14.8,26,6,
TB,2/27/85,5.4,31,7,
TB,3/25/85,2.5,47,18,5.447
TB,4/10/85,0,48,24,
TB,1/10/86,19.2,25,10,
TB,2/25/86,26,40,34,
TB,3/31/86,0.8,28,22,2.373
TB,1/15/87,15.4,23,20,
TB,2/23/87,10.1,37,14,
TB,3/20/87,0,35,17,4.984
TB,1/14/88,15.6,23,15,
TB,3/1/88,9.4,44,33,
TB,3/23/88,4.9,51,18,
TB,1/17/89,21.4,31,13.5,
TB,3/6/89,33.8,46.2,24,
TB,3/27/89,,58.5,36.5,3.793
TB,1/15/90,9.5,27.5,7.5,
TB,2/28/90,22.2,50,30,
TB,3/27/90,0,41,24.5,
TB,1/16/91,22,24,0,
TB,2/20/91,12.5,39,11,
TB,3/21/91,0,47,15,5.767
TB,1/15/92,14.9,26,14,
TB,2/26/92,31,40,28,
TB,3/23/92,5.2,44,3,
TB,1/14/93,16.5,29.5,17,
TB,2/24/93,10.2,49,32,
TB,3/23/93,8.5,50.5,31.5,
TB,1/17/94,13.1,20,6,
TB,2/24/94,2.7,46,26,
TB,3/28/94,11,36,17,
TB,1/12/95,6.3,31,3.5,
TB,2/14/95,16,36.5,5,
TB,3/20/95,2.8,36,31,
TB,11/9/95,,2.5,0,
TB,1/17/96,24.8,28,5,
TB,2/21/96,15.3,50,7,
TB,4/2/96,29.3,57,26,
TB,1/21/97,18.3,44,29,
TB,2/18/97,16.2,55,39,
TB,3/24/97,24.4,57,57,
TB,1/19/98,24.4,21,6,
TB,2/18/98,2.5,39,22,
TB,3/16/98,6.5,34,21,
TB,1/22/99,21.1,30,9,
TB,2/24/99,16.4,44,44,
TB,3/23/99,4.2,43,33,3.918
TB,1/27/00,16.1,27,12,
TB,2/21/00,28.4,21,14,
TB,1/24/01,13.5,23,9,
TB,2/19/01,22.1,38,27,
TB,4/3/01,3.9,47,39,
TB,1/17/02,11,17,0,
TB,3/6/02,7.8,38,18,
TB,4/12/02,0,51,27,
TB,2/4/03,29.8,41,5,
TB,2/20/03,20.6,42,5,
TB,4/2/03,1.6,40,2,4.5
TB,1/21/04,22,32,11,
TB,2/19/04,16.6,50,28,
TB,3/29/04,3.9,54,28,3.254
TB,1/20/05,25,31,15,
TB,2/15/05,12.2,42,25,
TB,3/31/05,1.3,44,20,3.712
TB,1/12/06,8.6,26,21,
TB,2/22/06,15.1,38,38,
TB,3/29/06,0.5,47,47,2.509
TB,1/23/07,10.6,28,12,
TB,2/21/07,13.3,36,13,
TB,3/27/07,0,25,2,4.428
TB,1/28/08,14.7,34,19,
TB,2/25/08,22.2,42,23,
TB,3/27/08,12.3,53,35,
TB,1/22/09,26.2,32,18,
TB,2/17/09,6.2,48,23,1.502
TB,3/25/09,0,42,24,2.244
TB,1/14/10,12,24,18,
TB,2/22/10,18.8,33,17,
TB,1/24/11,18.3,34,18,
TB,2/15/11,19.9,36,18,
TB,3/16/11,11.3,48,23,
TB,1/10/12,4.4,25,16,3.584
TB,2/20/12,9.8,35,25,1.535
TB,1/28/13,28,25,2,
TB,2/18/13,10.4,41,20,
TB,3/27/13,7.6,60,36,
TB,1/24/14,32.1,30,10,
TB,2/20/14,32,46,32,
TB,3/28/14,21.1,60,42,
TB,1/20/15,19.1,30,25,3.856
TB,3/6/15,31.1,32,27,1.916
TB,3/24/15,0,25,20,2.172
TB,1/25/16,8.6,24,19,2.401
TB,2/24/16,6.5,33,25,1.564
TB,1/20/17,16.3,26,13,
TB,2/17/17,13.4,34,19,
TB,3/29/17,0,36,22,
